央视,#genre#
CCTV-9记录,http://122.96.52.98:8006/JS_CUCC/G_CCTV-9.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9A%2BP3kQJwl2Q9vMpGRMv3QArpgYCdV%2FbHkUIh2kB%2Bak&p=GITV&area=JS_CUCC
CCTV-10科教 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-10-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2F25M6LlDqXZu2VSq840d404y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-10科教,http://122.96.52.98:8006/JS_CUCC/CCTV-10.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8xdNwTgP%2BXkriY986kdEspm7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
CCTV-11戏曲 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-11-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BLEEacZnCIbHfc8y0bZ8PI4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-11戏曲,http://122.96.52.98:8006/JS_CUCC/CCTV-11.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVyRnsmGjAXhXd7kEjyssqRVm7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
CCTV-12社会与法 高清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-12-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6JHnmtEJGCNRt%2F5Mv9bG1I4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-12社会与法,http://122.96.52.98:8006/JS_CUCC/CCTV-12.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0pJ9M6a1TR5axV94TFXfgFm7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
CCTV-13新闻 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-13-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVyWK3yuYWid0ILBY8hUozGE4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-13新闻,http://122.96.52.98:8006/JS_CUCC/CCTV-13.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6Zna1jLuB9wDeyU4uKeNtRm7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
CCTV-14少儿 高清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-14-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7G%2BvTerIAHOMitbuDrBba44y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-14少儿,http://122.96.52.98:8006/JS_CUCC/G_CCTV-14.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FHQpXZr7%2BJtbQ99%2B%2B9xcTeELafl%2FKDop9ykKNt6W6fI&p=GITV&area=JS_CUCC
CCTV-15音乐 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-15-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV40thdW4a5cnposClaYWBoY4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-15音乐,http://122.96.52.98:8006/JS_CUCC/G_CCTV-15.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FABSIIczdYd66zamqmNo6GELafl%2FKDop9ykKNt6W6fI&p=GITV&area=JS_CUCC
CCTV-16奥林匹克 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0sQTAG8SXL7CymN0BPpJYQ4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-16奥林匹克,http://122.96.52.98:8006/JS_CUCC/G_CCTV-16-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2B53mqgprQEfOdwOfe%2BxPIbESAoroqycdKYyrhsGM6Dv&p=GITV&area=JS_CUCC
CCTV-17农业农村,http://122.96.52.98:8006/JS_CUCC/G_CCTV-17-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVybYtYCoULNlZ%2BU1yEXUBpY4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CGTN中国国际电视台,http://122.96.52.98:8006/JS_CUCC/G_CCTV-NEWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5FKAH%2BXNWb1nvXrUfJTbTq7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC

卫视,#genre#
江苏卫视超清,http://122.96.52.98:8006/JS_CUCC/G_JIANGSU-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV53Um9EQMFzb3e2vRahqYSM4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
江苏卫视高清,http://122.96.52.98:8006/JS_CUCC/G_JIANGSU-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwDKcyHR%2F5Pm9J6t2Eft4CHESAoroqycdKYyrhsGM6Dv&p=GITV&area=JS_CUCC
江苏卫视,http://122.96.52.98:8006/JS_CUCC/JSWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV2VGxedtPLnAery2%2BkpIGq1m7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
浙江卫视超清,http://122.96.52.98:8006/JS_CUCC/G_ZHEJIANG-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4Nd2dktho8dQKmJgOb8jA%2B4Gal9DU9%2FtzwUlAvW0Ymn&p=GITV&area=JS_CUCC
